{'action_bound': 1,
 'action_dim': 1,
 'actor_l1': 400,
 'actor_l2': 300,
 'actor_lr': 0.0001,
 'actor_rnn': 20,
 'buffer_size': 1000000,
 'critic_l1': 400,
 'critic_l2': 300,
 'critic_lr': 0.001,
 'critic_rnn': 20,
 'discretization_time': 0.001,
 'gamma': 0.99,
 'load_model': False,
 'max_episode_len': 1200,
 'max_episodes': 500,
 'mini_batch_size': 1000,
 'noise_var': 0.0925,
 'random_seed': 1754,
 'save_model': True,
 'scaling': True,
 'state_dim': 2,
 'summary_dir': '/afs/crc.nd.edu/user/k/kkosaraj/GITHUB_REP_DCBF/my_scripts/test_name=dcbf_2/gamma=0.99/time_steps=2',
 'tau': 0.001,
 'time_steps': 2,
 'use_gpu': True}
(array([0.02971586, 0.02961047], dtype=float32), array([ 19.491829, 199.30959 ], dtype=float32))
| Reward: -18.5256 | Episode: 220 | Qmax: -9.0975
| Reward: -292.4930 | Episode: 221 | Qmax: -13.3070
| Reward: -138.2272 | Episode: 222 | Qmax: -18.1923
| Reward: -36.5693 | Episode: 223 | Qmax: -21.1455
| Reward: -264.2387 | Episode: 224 | Qmax: -22.0030
| Reward: -78.7175 | Episode: 225 | Qmax: -23.4828
| Reward: -10.5821 | Episode: 226 | Qmax: -29.3659
| Reward: -152.8208 | Episode: 227 | Qmax: -31.6172
| Reward: -67.7884 | Episode: 228 | Qmax: -36.4980
| Reward: -15.5586 | Episode: 229 | Qmax: -39.0367
| Reward: -157.2102 | Episode: 230 | Qmax: -39.6442
| Reward: -39.5615 | Episode: 231 | Qmax: -41.4657
| Reward: -61.9318 | Episode: 232 | Qmax: -42.1497
| Reward: -318.8160 | Episode: 233 | Qmax: -43.4253
| Reward: -103.6262 | Episode: 234 | Qmax: -46.7488
| Reward: -246.2890 | Episode: 235 | Qmax: -50.7040
| Reward: -12.7903 | Episode: 236 | Qmax: -56.0948
| Reward: -230.1545 | Episode: 237 | Qmax: -62.1292
| Reward: -401.2889 | Episode: 238 | Qmax: -65.9954
| Reward: -30.6732 | Episode: 239 | Qmax: -69.2437
| Reward: -185.9728 | Episode: 240 | Qmax: -74.4720
| Reward: -87.2309 | Episode: 241 | Qmax: -78.7387
| Reward: -106.4281 | Episode: 242 | Qmax: -85.7508
| Reward: -26.8970 | Episode: 243 | Qmax: -93.9219
| Reward: -12.3112 | Episode: 244 | Qmax: -101.1821
| Reward: -25.1672 | Episode: 245 | Qmax: -107.7040
| Reward: -46.8359 | Episode: 246 | Qmax: -112.7542
| Reward: -160.2291 | Episode: 247 | Qmax: -113.3684
| Reward: -86.9699 | Episode: 248 | Qmax: -114.1988
| Reward: -159.8659 | Episode: 249 | Qmax: -118.0209
| Reward: -54.9550 | Episode: 250 | Qmax: -121.7789
| Reward: -12.2364 | Episode: 251 | Qmax: -123.8190
| Reward: -19.2595 | Episode: 252 | Qmax: -124.3502
| Reward: -80.6929 | Episode: 253 | Qmax: -126.9809
| Reward: -64.2723 | Episode: 254 | Qmax: -128.8190
| Reward: -51.0392 | Episode: 255 | Qmax: -130.5577
| Reward: -201.6667 | Episode: 256 | Qmax: -123.2128
| Reward: -83.2204 | Episode: 257 | Qmax: -124.0390
| Reward: -78.9298 | Episode: 258 | Qmax: -124.8399
| Reward: -133.1229 | Episode: 259 | Qmax: -125.6613
| Reward: -34.6179 | Episode: 260 | Qmax: -128.8028
| Reward: -193.5348 | Episode: 261 | Qmax: -127.9095
| Reward: -22.6045 | Episode: 262 | Qmax: -126.3475
| Reward: -25.4236 | Episode: 263 | Qmax: -127.7263
| Reward: -326.4398 | Episode: 264 | Qmax: -128.4729
| Reward: -33.0464 | Episode: 265 | Qmax: -127.9533
| Reward: -45.4585 | Episode: 266 | Qmax: -128.7894
| Reward: -34.7140 | Episode: 267 | Qmax: -132.8149
| Reward: -94.4742 | Episode: 268 | Qmax: -128.8223
| Reward: -88.2748 | Episode: 269 | Qmax: -130.5466
| Reward: -81.1312 | Episode: 270 | Qmax: -129.4034
| Reward: -129.2047 | Episode: 271 | Qmax: -127.5734
| Reward: -51.3346 | Episode: 272 | Qmax: -126.6555
| Reward: -12.6397 | Episode: 273 | Qmax: -126.0457
| Reward: -277.1099 | Episode: 274 | Qmax: -126.8778
| Reward: -34.0740 | Episode: 275 | Qmax: -126.4282
| Reward: -444.6826 | Episode: 276 | Qmax: -126.4336
| Reward: -187.0859 | Episode: 277 | Qmax: -125.3882
| Reward: -182.0689 | Episode: 278 | Qmax: -127.1083
| Reward: -30.7706 | Episode: 279 | Qmax: -124.7012
| Reward: -59.3655 | Episode: 280 | Qmax: -126.4619
| Reward: -62.0217 | Episode: 281 | Qmax: -125.2227
| Reward: -22.3941 | Episode: 282 | Qmax: -122.7774
| Reward: -117.5362 | Episode: 283 | Qmax: -121.2727
| Reward: -648.4991 | Episode: 284 | Qmax: -118.8067
| Reward: -34.0306 | Episode: 285 | Qmax: -115.3276
| Reward: -45.9554 | Episode: 286 | Qmax: -115.9228
| Reward: -76.2237 | Episode: 287 | Qmax: -116.1599
| Reward: -41.9555 | Episode: 288 | Qmax: -114.9827
| Reward: -280.6285 | Episode: 289 | Qmax: -116.6840
| Reward: -87.0787 | Episode: 290 | Qmax: -113.8411
| Reward: -48.2641 | Episode: 291 | Qmax: -113.7068
| Reward: -31.9100 | Episode: 292 | Qmax: -111.2080
| Reward: -340.5723 | Episode: 293 | Qmax: -106.4298
| Reward: -8.4444 | Episode: 294 | Qmax: -103.9240
| Reward: -211.4249 | Episode: 295 | Qmax: -101.3809
| Reward: -225.3448 | Episode: 296 | Qmax: -99.8422
| Reward: -36.2268 | Episode: 297 | Qmax: -95.2783
| Reward: -26.7206 | Episode: 298 | Qmax: -92.0393
| Reward: -329.0778 | Episode: 299 | Qmax: -91.0950
| Reward: -16.2512 | Episode: 300 | Qmax: -89.9860
| Reward: -55.6443 | Episode: 301 | Qmax: -90.7751
| Reward: -34.6672 | Episode: 302 | Qmax: -92.1163
| Reward: -87.7124 | Episode: 303 | Qmax: -91.1612
| Reward: -117.1384 | Episode: 304 | Qmax: -86.3376
| Reward: -15.6351 | Episode: 305 | Qmax: -84.1474
| Reward: -12.2193 | Episode: 306 | Qmax: -83.1757
| Reward: -119.9275 | Episode: 307 | Qmax: -81.5890
| Reward: -192.4834 | Episode: 308 | Qmax: -85.2549
| Reward: -89.5511 | Episode: 309 | Qmax: -85.7890
| Reward: -135.4801 | Episode: 310 | Qmax: -85.8237
| Reward: -38.1427 | Episode: 311 | Qmax: -87.9541
| Reward: -174.6213 | Episode: 312 | Qmax: -87.0919
| Reward: -49.9348 | Episode: 313 | Qmax: -86.9732
| Reward: -102.3412 | Episode: 314 | Qmax: -88.6031
| Reward: -65.4161 | Episode: 315 | Qmax: -90.3945
| Reward: -539.8407 | Episode: 316 | Qmax: -86.0030
| Reward: -14.5315 | Episode: 317 | Qmax: -84.4724
| Reward: -14.6459 | Episode: 318 | Qmax: -81.8095
| Reward: -168.8668 | Episode: 319 | Qmax: -78.8839
| Reward: -7.1620 | Episode: 320 | Qmax: -80.7593
| Reward: -6.0548 | Episode: 321 | Qmax: -81.9576
| Reward: -22.5029 | Episode: 322 | Qmax: -77.4829
| Reward: -65.3719 | Episode: 323 | Qmax: -76.0876
| Reward: -219.1484 | Episode: 324 | Qmax: -76.9646
| Reward: -25.6255 | Episode: 325 | Qmax: -76.8140
| Reward: -23.4881 | Episode: 326 | Qmax: -76.5577
